id,transcription
564,FOR IF IS ANYWHERE IN THE FARM WE CAN SEND FOR HIM IN A MINUTE
565,OH SIR SAID MISSUS POYSER RATHER ALARMED YOU WOULDN'T LIKE IT AT ALL
566,BUT YOU KNOW MORE ABOUT THAT THAT I DO SIR
567,I THINK I SHOULD BE DOING YOU A SERVICE TO TURN YOU OUT OF SUCH A PLACE
568,I KNOW FARM IS IN BETTER ORDER THAN ANY OTHER WITHIN TEN MILES OF US AND AS FOR THE KITCHEN HE ADDED SMILING I DON'T BELIEVE THERE IS ONE IN THE KINGDOM TO BE IT
569,BY THE BYE I NEVER SEE YOUR DAIRY I MUST SEE YOUR DARING MISSUS POYSER
570,THIS MISSUS POYSER SAID BLUSHING AND BELIEVING THAT THE CAPTAIN WAS REALLY INTERESTED IN HER MILK PANDS AND WOULD ADJUST HIS OPINION OF HER TO THE APPEARANCE OF HER DAIRY
571,OH I HAVE NO DOUBT IT'S AN CAPITAL ORDER
572,THE PERIL SPAND LIKE THAT OF THE CRYSTAL PALACE WAS A TEMPORARY EXHIBIT
573,THE LONDON BLACK WAS LOST TEMPORARY BUT NOT PERMANENT SUPPLYING BEFORE IT WAS TORN OUT NO FEWER THEN THREE THOUSAND LAMPS AND HOTELS CHURCHES STORES AND DWELLINGS AND THE VICINITY OF HOLBORN VIDA
574,THERE MESSIERS JOHNSON AND HAMPER PUT INTO PRACTICE MANY OF THE IDEAS NOW STANDERED IN THE ART AND SECURED MUCH USEFUL DATA FOR THE WORK IN NEW YORK OF WHICH THE STORY HAS JUST BEEN TOLD
575,THE DATA ELECTRIC MACHINE THOUGH SMALL WAS ROBUST FOR UNDER ALL THE VARYING STREETS OF WATER POWER AND THE VICISSITUDES OF THE PLAT TO WHICH IT BELONGED IT CONTINUED IN ACTIVE YEARS UNTIL EIGHTEEN NINETY NINE SEVENTEEN YEARS
576,OWING TO HIS INSISTENCE ON LOW PRESSURE DIRECT CURRENT FOR USE IN DENSELY POPULATED DISTRICTS AS THE ONLY SAFE AND TRULY UNIVERSAL PROFITABLE WAY OF DELIVERING ELECTRICAL ENERGY TO THE CONSUMERS MEDICINE HAS BEEN FREQUENTLY SPOKEN OF AS AN OPPONENT OF AS AN OPPONENT
577,WHY IF WE A PRACTASTATION AT THE FALLS IT IS A GREAT ECONOMY TO GET IT UP TO THE CITY
578,THERE SEEMS NO GOOD REASON FOR BELIEVING THAT IT WILL CHANGE
579,BROUGHT US THE PRAIRIES AND FREE AND THOUGHT AS THE WINDS THAT SWEPT THEM HE IS IDIOS AND CHRONICLY OPPOSED TO LOOSE AND WASTEFUL METHODS TO PLANS OF EMPIRE THAT NEGLECT THE POOR THE DAY
580,EVERYTHING HE HAS DONE HAS BEEN AIM THAT THE CONSERVATION OF ENERGY THE CONTRACTION OF SPACE THE INTENSOCATION OF CULTURE
581,FOR SOME YEARS IT WAS NOT FOUND FEASIBLE TO OPERATE MOTIVES ON ALTERNATING CURRENTS AND THAT REASON WAS OFTEN URGED AGAINST IT SERIOUSLY
582,IT COULD NOT BE USED FOR ELECTRIC BLAZING OR DEPOSITION NOR COULD A CHARGE TO REACH BATTERIES ALL OF WHICH ARE EASILY WITHIN THE ABILITY OF THE DIRECT
583,BUT WHEN IT CAME TO BE A QUESTION OF LIGHTING A SCATTERED SUBURB A GROUP OF DWELLINGS ON THE OUTSKIRTS A REMOTE COUNTRY RESIDENCE OR A FAR MOUSE THE ALTERNATING CURRENT IN ALL ELEMENTS SAVE ITS DANGER WAS AND IS IDEAL
584,EDISON WAS IN TOLERANT OF SHAM AND SOUGHTY AND NOTHING WOULD SATISFY HIM THAT COULD NOT STAND CROSS EXAMINATION BY MIGHT RESULT TESTS TUBE AND GALDENANEMETER
585,UNLESS HE COULD SECURE AN ENGINE OF SMOOTAR RUNNING AND MORE EXACTLY GOVERNMENT REGULATED THAN THOSE AVAILABLE FOR HIS DIABAL AND LAUGHED EDDISON REALIZED THAT HE WOULD FIND IT ALMOST IMPOSSIBLE TO GIVE A STUDY LIGHT
586,MISTER ADDISON WAS A LEADER FAR AHEAD OF THE TIME
587,HE OBTAINED THE DESIRED SPEED AND LOADED WITH A FRICTION BREAK ALSO REGULATOR OF SPEED WHAT WAITED FORT INDICATOR TO VERIFY IT
588,THEN AGAIN THERE WAS NO KNOWN WAY TO LIBERATE AN ENGINE FOR CONTINUOUS RUNNING AND MISTER EDITION INFORMED ME THAT AS A MARINE ENGINES STARTED BEFORE THE SHIP LEFT THE YORK AND CONTINUED RUNNING UNTIL IT REACHED ITS HOME PORT SO AN ENGINE FOR HIS PURPOSE IS MUST PRODUCE LIGHT AT ALL TIMES
589,EDISON HAD INSTALLED HIS HISTORIC FIRST GREAT CENTRAL STATION SYSTEM IN NEW YORK ON THE MULTABLE ARC SYSTEM COVERED BY HIS FEEDER AND MAIN INVENTION WHICH RESULTED IN A NOTABLE SAVING IN THE COST OF CONDUCTORS AS AGAINST THE STRAIGHT TWO WIRE SYSTEM THROUGH OUT OF THE TREE KIND
590,HE SOON FORCE SAW THAT STILL GREATER ECONOMY WOULD BE NECESSARY FOR COMMERCIAL SUCCESS NOT ALONE FOR THE LARGER TERRITORY OPENING BUT FOR THE COMPACT DISTRICT OF LARGE CITIES
591,THE STRONG POSITION HELD BY THE ADISAN SYSTEM UNDER THIS STRENUOUS COMPETITION THAT WAS ALREADY SPRINGING UP WAS ENORMOUSLY IMPROVED BY THE INTRODUCTION OF THE THREE WIRE SYSTEM AND IT GAVE AN IMMEDIATE IMPETUS TO INCANDESCENT LIGHTING
592,IT WAS SPECIALLY SUITED FOR A TRIAL PLAT ALSO IN THE EARLY DAYS WHEN A YELLED OF SIX OR EIGHT LAMPS TO THE HORSE POWER WAS CONSIDERED FOR CONGRATULATION
593,THE STREET CONDUCTORS WERE OF THE OVERHEAD FULL LINE INSTRUCTION EDWARD INSTALLED BY THE INSTRUCTION COMPANY THAT HAD BEEN ORGANIZED BY ADISON TO BUILD AN EQUIP CENTRAL STATIONS
594,MEANWHILE HE HAD CALLED UPON ME TO MAKE A REPORT OF THE THREE WIRE SYSTEM KNOWN IN ENGLAND AS THE HOPKINSON BOTH DOCTOR JOHN HOPKINS IN AND MISTER EDITION BEING INDEPENDENT INVENTORS AT PRACTICALLY THE SAME TIME
595,I THINK HE WAS PERHAPS MORE APPRECIATIVE THAT I WAS OF THE DISCIPLINE OF THE EDISON CONSTRUCTION TO PARDON AND THOUGHT IT WOULD BE WELL FOR US TO WAIT UNTIL THE MORNING OF THE FOURTH BEFORE WE STARTED UP
596,BUT THE PLANT RAN AND IT WAS THE FIRST THREE WIRE STATION IN THIS COUNTRY
597,THEY WERE LATER USED AS RESERVED MACHINES ON FINELY WITH THE ENGINE RETIRED FROM SERVICE AS PART OF THE COLLECTION OF ETASUNIA BUT THEY REMAINED IN PRACTICALLY AS GOOD CONDITION AS ONE INSTALLED IN EIGHTEEN A LIVERY
598,THE ARCH LAMP AND STOLE OUTSIDE A CUSTOMERS PROMISES OR IN A CIRCUIT FOR PUBLIC STREET LIGHTING BURNED SO MANY HOURS NIGHTLY SO MANY NIGHTS IN THE MONTH AND WAS PAID FOR AT THAT RATE SUBJECT TO DEBATE FOR HOURS WHEN THE LAMP MIGHT BE OUT THE LATCH OF IT
599,EDISON HELD THAT THE ELECTRICITY SOLD MUST BE MEASURED JUST LIKE GAS OR WATER ANY PROCEEDED TO DEVELOP A METER
600,THERE WAS INFINITE SKEPTUSES AND AROUND HIM ON THE SUBJECT AND WHILE OTHER INVENTORS WERE ALSO GIVING THE SUBJECT THEREFORE THE PUBLIC TOOK IT FOR GRANTED THAT ANYTHING SO UTTERLY INTANGIBLE AS ELECTRICITY THAT COULD NOT BE SEEN OR WEIGHT AND ONLY GAVE SECONDARY EVIDENCE OF ITSELF THAT COULD NOT BE SEEN OR WEIGHTED AND ONLY GAVE OR WEIGHED AND ONLY GAVE OR WEIGHED AND ONLY GAVE OR WEIGHT AND ONLY GAVE OR WAITED USE
601,AND THE ADITION ELECTRICAL METER IS NO LONGER USED DESPITE ITS EXCELLENT QUALITIES
602,THE PRINCIPAL EMPLOYED IN THE ATMOSPHERE IS THAT WHICH EXEMPTIFIES THE POWER OF ELECTRICITY TO DEEP IMPOSE A CHEMICAL SUBSTANCE
603,ASSOSIUSATED WITH THE SIMPLE FORM OF APPARATUS WERE VARIOUS INGENIOUS DETAILS AND REFINMENTS TO SECURE REGULARITY OF OPERATION FREEDOM FROM INACURACY AND IMMUNITY FROM SUCH TEMPORARY AS WOULD PERMITFTIVE CURRENT OR DAMAGE
604,THIS STANDARD AT US IN METER PRACTICE WAS TO REMOVE THE CELLS ONCE AMONGST TO THE METER ROOM OF THE CENTRAL STATION COMPANY FOR EXAMINATION ANOTHER SAT BEING SUBSTITUTED
605,IN DECEMBER EIGHTEEN EIGHTY EIGHT MISTER D W J G JENKS READ AN INTERESTING PAPER BEFORE THE AMERICAN INSTITUTE TWO DOUBLEATRICAL ENGINEERS ON THE SIX YEARS OF PRACTICAL EXPERIENCE HAD UP TO THAT TIME WITH THE METER THEN MORE GENERALLY IN USE THAN ANY OTHER
606,THE OTHERS HAVING BEEN AN OPERATION TO SHORT A TIME TO SHOW DEFINITE RESULTS ALTHOUGH THEY ALSO WENT QUICKLY TO A DIFFERENT AND BASIS
607,IN THIS CONNECTION IT SHOULD BE MENTIONED THAT THE ASSOCIATION OF EDITION ILLUMINATING COMPANIES IN THE SAME YEAR ADOPTED RESOLUTIONS UNANIMOUSLY TO THE EFFECT THAT THE EDISON METER WAS AFTER AND THAT ITS USE WAS NOT EXPENSIVE FOR STATIONS ABOVE ONE THOUSAND LIGHTS AND THAT THE BEST FINANCIAL RESULTS WERE STATIONS ABOVE ONE THOUSAND LIGHTS AND LIGHTS AND LIGHTS AND THAT THE BESTATIONS ABOVE ONE THOUSAND LIGHTS AND THAT THE BESTATIONS ABOVE ONE THOUSAND LIGHTS AND THAT THE BEST UNIQUEIONS ABOVE ONE THOUSAND LIGHTS AND THAT THE BESTATIONS ABOVE ONE THOUSAND LIGHTS AND THAT THE BEST HONORS WAS NOT EXPENSIVE
608,THE LEADER CONTINUED IN GENERAL SERVICE DURING EIGHTEEN NINETY NINE AND PROBABLY UP TO THE CLOSE OF THE CENTURY
609,HE WAITED AND HIGHWAY THE METER PLATES AND PURSUED EVERY LINE OF INVESTIGATION IMAGINABLE BUT ALL IN VAIN
610,HE FELL HE WAS UP AGAINST IT AND THAT PERHAPS ANOTHER KIND OF A JOB WOULD SUIT HIM BETTER
611,THE PROBLEM WAS SOUGHT
612,WE WERE MORE INTERESTED IN THE TECHNICAL CONDITION OF THE STATION THAT IN THE COMMERCIAL PART
613,WE HAD METERS IN WHICH THEY WERE TWO BOTTLES OF LIQUID
614,HERE SHE WOULD STAY COMFORTED AND SOOTHED AMONG THE LOVELY PLANS AND RICHARD'S OBJECTS REJOICING THE HEART OF OLD TURNER THE GARDEN WHO SENT POLLY SPURSED RAPTUROUS ENTRANCE HAD TAKEN HER INTO HIS GOOD GRACES FOR ALL TIME
615,EVERY CHANCE SHE COULD STEAL AFTER BREAKFAST HOURS WERE OVER AND AFTER THE CLAMOROUS DEMANDS OF THE BOYS UPON HER TIME WERE FULLY SATISFIED WAS SEIZED TO FLY ON THE WINGS OF THE WIND TO THE FLOWERS
616,THEN DEAR SAID MISSUS WITH ME YOU MUST BE KINDED TO HER THAN EVER THINK WHAT IT WOULD BE FOR ONE OF YOU TO BE AWAY FROM HOME EVEN AMONG FRIENDS
617, SOMEHOW OF ALL THE DAYS WHEN THE HOME FEELING WAS THE STRONGEST THIS DAY IT SEEMED AS IF SHE COULD BEAR IT NO LONGER
618,IF SHE COULD ONLY SEE FROGSY FOR JUST ONE MOMENT
619,OH SHE'S ALWAYS AT THE PIANO SAID MAN SHE MUST BE THERE NOW SOMEWHERE AND THEN SOMEBODY LAUGHED
620,AT THIS THE BUNDLE OPEN SUDDENLY AND OUT POPPED PHRONSIE
621,BUT POLLY COULDN'T SPEAK AND IF JASPER HADN'T CAUGHT HER JUST IN TIME SHE WOULD HAVE TUMBLED OVER BACKWARD FROM THE STOOL PHRONSIE AND ALL
622,ASKED PHRONSIE WITH HER LITTLE FACE CLOSED TO CALL THESE OWN
623,NOW YOU'LL STAY CRIED MAN SAY POLLY WON'T YOU
624,OH YOU ARE THE DEAREST AND BEST MISTER KING I EVER SAW BUT HOW DID YOU MAKE MAMMY THAT HER COME
625,IS ANY SPLENDID CRIED JASPER AND INTENSE PRIDE SWELLING UP FATHER AND KNEW HOW TO DO IT
626,THERE HE SAID SOOTHINGLY PATTING HER BROWN PL AS HE HAD
627,I KNOW GASPED POLLY CONTROLLING HER SOBS I WON'T ONLY I CAN THINK YOU
628,ASKED PHRONSIE AN INTENSE INTEREST SLIPPING DOWN OUT OF POLLY'S ARMS AND CROWDING UP CLOSE TO JASPER SIDE
629,YES ALL ALONE BY HIMSELF A SORT OF JASPER BEAMATELY AND THINKING CURIOUSLY TO THE OTHERS TO STOP THEIR LAUGHING HE DID NOW TRULY PHRONSIE
630,AH NO CHAPTER I MUST GO BY MY VERY OWN SELF
631,THERE CHAP YOU'VE GOT IT LAUGHED PURSY WHILE THE OTHER'S SCREAMED AT THE SIDE OF JASPER'S SPACE
632,DON'T MIND IT POLLY WHISPERED JASPER WASN'T HER FAULT
633,DEAR ME AJACULATED THE OLD GENTLEMAN AND THE UTMOST AMAZEMENT AND SUCH A TIME AS I'D HAD TO GET HER HERE TOO
634,HOW DID HER MOTHER EVER LET HER GO
635,SHE ASKED IMPULSIVELY I DIDN'T BELIEVE YOU COULD PERSUADE HER FATHER
636,I DIDN'T HAVE ANY FEARS IF I WORKED IT LIGHTLY SAID THE OLD GENTLEMAN COMPLACENTLY
637,HE CRIED AND HIGH DUNGEON JUST AS IF HE OWNED THE HOLE OF THE PEPPARDS AND COULD DISPOSE AT THEM ALL AND SUIT HIS FANCY
638,AND THE OLD GENTLEMAN WAS SO DELIGHTED WITH HIS SUCCESS THAT HE HAD TO BURST OUT INTO A SERIES OF SHORT HAPPY BITS OF LAUGHTER THAT OCCUPIED QUITE A SPACE OF TIME
639,AT LAST HE CAME OUT OF THEM AND WHITE HIS FACE VIGOROUSLY
640,IT IS SIXTEEN YEARS SINCE JOHN BURNS AND DIED
641,HIS WIFE NOW EYES BESIDE HIM AND THE WHITE SHAVE THAT MARKS THEIR GRAVES GLEAMS ACROSS THE LEAP FIELDS
642,FROM THE NORWEET AND GRAVE YARD ONE LOOKS OUT OVER A VAST CHECKERBOARD MARKED OFF IN SQUARES OF WHEAT AND CORN LIGHT AND DARK DARK AND LIGHT
643,FROM THE GRAVEYARD GATE ONE CAN COUNT A DOZEN GAILY PAINTED FARM HOUSES THE GILDED AT WEATHER VEINS ON THE BIG RED BARNS WEAK AT EACH OTHER ACROSS THE GREEN AND BROWN AND YELLOW FIELDS
644,THE AIR AND THE EARTH ARE CURIOUSLY MADE IT AND INTERMINGLED AS IF THE ONE WERE THE BREATH OF THE OTHER
645,HE WAS A SPLENDID FIGURE OF A BOY TALL AND STRAIGHT AS A YOUNG PINE TREE WITH A HANDSOME HEAD AND STORMY GRAY EYE STEEPLY SET UNDER A SERIOUS BROW
646,THAT'S NOT MUCH OF A JOB FOR AN ATHLETE HERE I'VE BEEN TO TOWN ON BACK
647,NOT EXAGGER THAT YOU SLEEP LATE
648,SHE GATHERED UP HER REIGNS
649,PLEASE WAIT FOR ME MERRY AE AE OFE
650,I NEVER SEE LOSE SIGHED OVER HERE
651,HOW PROUD YOU'VE GOT SINCE YOU CAME HOME I WISH I HAD AN AVONLEA TO MAUME MY ORCHARD
652,I GET WET TO MY KNEES WHEN I GO DOWN TO PICK CHERRIES
653,INDEED HE HAD LOOKED AWAY WITH THE PURPOSE OF NOT SEEING IT
654,THEY THINK YOUR PROUD BECAUSE YOU'VE BEEN AWAY TO SCHOOL OR SOMETHING
655,THERE WAS SOMETHING INDIVIDUAL ABOUT THE GREAT FARM A MOST UNUSUAL CHIMNESS AND CARE FOR DETAIL
656,ON EITHER SIDE OF THE ROAD FOR A MILE BEFORE YOU REACHED THE FOOT OF THE HILL STOOD TALL O SAGE ARE AND HEDGES THEY'RE GLOSSY GREEN MOCKING OFF THE YELLOW FIELDS
657,ANY ONE THERE ABOUT WOULD HAVE TOLD YOU THAT THIS WAS ONE OF THE RICHEST FARMS ON THE DIVIDE AND THAT THE FARMER WAS A WOMAN ALEXANDERBURSON
658,THERE IS EVEN A WHITE ROW OF BEEHIVES IN THE ORCHARD UNDER THE WALLET TREES
659,FRANK RED ENGLISH SLOWLY AND THE MORE HE READ ABOUT THIS DIVORCE CASE THE ANGRY YEAR HE GREW
660,MARRY SIGHED
661,A BRISK WIND HAD COME UP AND WAS DRIVING PUFFY WHITE CLOUDS ACROSS THE SKY
662,THE ORCHARD WAS SPARKLING AND RIPPLING IN THE SUN
663,THAT INVITATION DECIDED HER
664,OH BUT I'M GLAD TO GET THIS PLACE MODE
665,JUST NOW THE WILD ROSES THEY ARE ONLY SO SPICY AFTER A RAIN
666,WE NEVER HAD SO MANY UP THEM IN HERE BEFORE
667,I SUPPOSE IT'S THE WHITE SEASON WILL YOU HAVE TO CUT THEM TO
668,I SUPPOSE THAT'S THE WENT SEASON TOO THEN
669,IT'S EXCITING TO SEE EVERYTHING GROWING SO FAST AND DID IT THE GRASS COAT
670,ARTIUS BRASHED LOOK AT THE SPIDER WHIPS ALL OVER THE GRASS
671,IN A FEW MOMENTS HE HEARD THE CHERRY STOPPING SMARTLY INTO THE PALE AND HE BEGAN TO SWING HIS SIGH WITH THAT LONG EVEN SPOKE THAT YOU AMERICAN BOYS EVER BURN
672,MARRY PICKED CHERRIES AND SANG SOFTLY TO HERSELF STRIPPING ONE GLITTERING BRANCH AFTER ANOTHER SHIVERING WHEN SHE THOUGHT A SHOWER OF RAINDROPS ON HER NECK AND HAIR
673,AND AMIABLE MODE HIS WAY SLOWLY DOWN TOWARD THE CHERRY TREES
674,THAT SUMMER THE REINS HAD BEEN SO MANY AN OPPORTUNITY THAT IT WAS ALMOST MORE THAN SHEPHERD AND HIS MAN COULD DO TO KEEP UP WITH THE CORN THE ORCHARD WAS A NEGLECTED WILDERNESS
675,I DON'T KNOW ALL WITH THEM BUT I KNOW BENNANTS ARE
676,IF I FEEL THAT WAY I FEEL THAT WAY
677,HE REACHED UP AMONG THE BRANCHES AND BEGAN TO PICK THE SWEET INSIPID FRUIT LONG I'VE RECOVERED BERRIES TIPPED WITH MATE PINK LIKE WHITE COREL THAT FALL TO THE GROUND UNHEEDEDED ALL SUMMER THROUGH
678,HE DROPPED A HANDFUL INTO HER UP
679,YES DON'T YOU
680,OH ADDERS ALL MUCH ONLY YOU SEEMS KIND OF STAY AT AND SCHOOLTY TREE
681,WHEN SHE USED TO TELL ME ABOUT HIM I ALWAYS WONDERED WHETHER SHE WAS AND A LITTLE IN LOVE WITH HIM
682,IT WOULD SERVE YOU ALL RIGHT IF SHE WALKED OFF WITH QUARREL
683,I LIKED TO TALK THE CAR ON ABOUT NEW YORK AND WHAT A FELLOW CAN DO THERE
684,I'LL HAIL
685,TREATLY YOU ARE NOT THINKING OF GOING OFF THERE
686,MY'S FACE FELL UNDER HIS BROODING GAZE
687,I'M SURE I'M SURE I'M SURE I'M SURE SHE MURMURED
688,I DON'T MUCH STAND AROUND OF THE GONE
689,I WANT TO BE DOING SOMETHING ON MY OWN ACCOUNT
690,SOMETIMES I DON'T WANT TO DO ANYTHING AT ALL AND SOMETIMES I WANT TO PULL THE FOUR CORNERS OF THE DIVIDE TOGETHER HE THREW OUT HIS ARM AND BROUGHT IT BACK WITH A JERK SO LIKE A TABLECLOTH
691,I GET TIRED OF SEEING MAN AND HORSES GOING UP AND DOWN UP AND DOWN UP AND DOWN
692,I WISH YOU WANT SO RESTLESS AND DIDN'T GET SO WORKED UP OVER THINGS SHE SAID SADLY
693,THANK YOU HE RETURNED SHORTLY
694,AND WHO NEVER USED TO BE CROSS TO ME
695,I CAN'T PLAY WITH YOU LIKE A LITTLE BOY ANY MORE HE SAID SLOWLY THAT'S WHAT YOU MISS MERRY
696,BUT I AM ILL IF I UNDERSTAND IN ALL OUR QUICK TIMES ARE OVER WE CAN NEVER DO NICE THINGS TOGETHER ANY MORE
697,AND ANYHOW THERE'S NOTHING TO UNDERSTAND
698,THAT WON'T LAST IT WILL GO AWAY AND BEING WILL BE JUST AS THEY USE TOO
699,I PRAY FOR YOU BUT THAT'S NOT THE SAME AS IF YOU PRAYED YOURSELF
700,I CAN'T PRAY TO HAVE THE THINGS I WANT HE SAID SLOWLY AND I WON'T PRAY NOT TO HAVE THEM NOT IF I'M DAMNED FOR IT
701,THAN ALL OUR PUT TIMES BAR OVER
702,SATERNITY AUGUST FIFTEENTH THE SEA AND BROKEN ALL ROUND NO LAND IN SIGHT
703,THE HORIZON SEEMS EXTREMELY DISTANT
704,ALL MY DANGER AND SUFFERINGS WERE NEEDED TO STRIKE A SPARK OF HUMAN FEELING OUT OF HIM BUT NOW THAT I AM WELL IS NATURE HAS RESUMED IT AWAY
705,YOU SEE ANXIOUS MY UNCLE I SAID SEEING HIM CONTINUALLY WITH HIS GLASS TO HIS EYE ANXIOUS
706,ONE MIGHT BE WOULD LESS REASON THAN NOW
707,I AM NOT COMPLAINING AT THE GREATEST SLOW BUT THAT THE SEAT IS SO WIDE
708,WE ARE USING TIME AND THE FACT IS I HAVE NOT COME ALL THIS WAY TO TAKE A LITTLE SAIL UPON A POND ON A RAFT
709,HE CALLED THE SEA UPON AND I LONG VOYAGE TAKING A LITTLE SAIL
710,THEREFORE DON'T TALK TO ME ABOUT VIEWS AND PROSPECTS
711,I TAKE THIS IS MY ANSWER AND I LEAVE THE PROFESSOR TO BITE HIS LIPS WITH IMPATIENCE
712,SUNDAY AUGUST SIXTEENTH
713,NOTHING KNEW WHETHER UNCHANGED THE WIND FRUCTIONS
714,BUT THERE SEEMED NO REASON OF FEAR
715,THE SHADOW OF THE RAFT WAS CLEARLY OUTLINED UPON THE SURFACE OF THE WAVES
716,TRULY THE SEA IS OF INFINITE WEB
717,AND MUST BE AS WIDE AS THE MEDITERRANEAN OR THEY ATLANTIC AND WHY NOT
718,THESE THOUGHTS AGITATED ME ALL DAY AND MY IMAGINATION SCARCELY CALM DOWN AFTER SEVERAL HOUR SLEEP
719,I SHUDDER AS I RECALLED THESE MONSTERS TO MY REMEMBRANCE
720,I SAW AT THE HAMPERED ME SOON THE SKELETON OF ONE OF THESE CREATURES THIRTY FEET IN LENGTH
721,I SUPPOSE PROFESSOR LIEDENBROCK WAS OF MY OPINION TOO AND EVEN SHARED MY FEARS FOR AFTER HAVING EXAMINED THE PIT HIS EYES TRAVERSED THE OCEAN FROM SIDE ASIDE
722,TEXT EIGHT AUGUST EIGHTEENTH
723,DEARING HIS WATCH I SLEPT
724,TWO HOURS AFTERWARDS A TERRIBLE SHOCK AWOKE ME
725,THE RAFT WAS HEAVED UP ON A WATERY MOUNTAIN AND PITCHED DOWN AGAIN AT A DISTANCE OF TWENTY FATHOMS
726,THERE'S A WHILE A WELL CRIED THE PROFESSOR
727,FIGHT WAS OUT OF THE QUESTION NOW THE RECTELS ROSE THEY WHEELED AROUND OUR LITTLE RAFT WITH A RAPIDITY GREATER THAN THAT OF EXPRESSED TRADE
728,TWO MONSTER'S ONLY RECRUATING ALL THIS COMMOTION AND BEFORE MY EYES ARE CHEAP RENT HOUSE OF THE PRIMITIVE WORLD
729,I CAN DISTINGUISH THE EYE OF IT THE ASSURES GLOWING LIKE A RED HOT COLL AND AS LARGE AS A MAN'S HEAD
730,ITS JAW IS ENORMOUS AND ACCORDING THE NATURALIST IT IS ARMED WITH NO LESS THAN HARM HUNDRED AND EIGHTY TWO TEETH
731,THOSE HUGE CREATURES ATTACKED EACH OTHER WITH A GREATEST AND AMASSITY
732,SUDDENLY THE ACIANTS AND THE PLUSHY OF SOURCE DISAPPEAR BELOW LEAVING A WHIRLPOLE EDDY IN THE WATER
733,AS FOR THE IF THE ASSURES HAS HE RETURNED WHO SUBMERING CABIN
734,THE JOINS BECOME LOST IN THE DISTANCE
735,THE WEATHER IF WE MAY USE THE TERM WILL CHANGE BEFORE LONG
736,THE ATMOSPHERE IS CHARRED WITH VAPOURS PROVIDED WITH THE ELECTRICITY GENERATED BY THE EVAPORATION OF SAILING WATERS
737,THE ELECTRIC LIGHT CAN SCARCELY PENETRATE TO THE DANCE CURTAIN WHICH IS DROPPED OVER THE THEATRE ON WHICH THE BATTLE OF THE ELEMENTS IS ABOUT TO BE WAGED
738,THE AIR IS HEAVY THE SEA IS CALM
739,FROM TIME A FLEECEY TOUGHED MIST WE YET SOME GLEAMING LIGHT LEFT UPON IT DROPPED DOWN UPON THE DENSE FLOOR OF GRAY AND LOSES ITSELF IN THE OPAQUE AN IMPENETRABLE MASS
740,THE ATMOSPHERE AS EVIDENTLY CHARGED AND SIR CHARGED WITH ELECTRICITY
741,THE WIND NEVER LULLS BUT TO ACQUIRE INCREASED STRENGTH THE VAST BANK OF HEAVY CLOUDS AS A HUGE RESIVOR A FEARFUL WINDY GUSTS AND RUSHING STORMS
742,THERE'S A HEAVY STORM COMING ON I CRIED POINTING TOWARDS THE HORIZON
743,THOSE CLOUDS SEEM AS IF THEY WERE GOING TO CRUSH THE SEA
744,ON THE MAST ALREADY I SEE THE LIGHT PLAY OF ALLOWMENT SAINT ANDREW'S FIRE THE OUTSTRUITS SAIL KUTCHES NOT A BREATH OF WIND AND HANGS LIKE A SHEET OF A LAD
745,BUT IF WE HAVE NOW CEASED TO ADVANCE WHY DO WE YET LEAVE THAT SO LOOSE WHICH AT THE FIRST SHOCK OF A TEMPEST MAY CAPSIZE US IN A MOMENT
746,THAT WILL BE THE SERVICE NO NO NEVER
747,THE PILED UP VAPOURS CONTENSED IN THE WATER AND THE AIR PUT IN A VIOLENT ACTION TO SUPPLY THE BACK AND LEFT BY THE CONDENSATION OF THE MIST RISES ITSELF INTO A WHIRLWIND
748,HOME STAIRS NOT
749,FROM THE UNDER SURFACE OF THE CLOUDS THEY ARE CONTINUAL ADMISSION OF LURED LIGHT ELECTRIC MATTER IS IN CONTINUAL EVOLUTION FROM THEIR COMPONENT MONARCHS THE GASHES ELEMENTS OF THE AIR NEED TO BE SLAKED WITH MORESTER FOR INNUMERABLE COLUMNS OF WATER RUSHED UPWORDS INTO THE AIR AND FALL BACK AGAIN AND WHITE FOE
750,I REFER TO THE PHENOMENA IT IN A CASE THE FIGURE IS OBLITERATED
751,IS THE ATMOSPHERE CONDITION HAVING ONCE REACHED A INTENSITY TO BECOME FINAL
752,THE RAPPED BEARS ARE STILL TO THE SOUTH EAST
753,AT NEW IN THE VIOLENCE OF THE STORM REDOUBLES
754,EACH OF US IS LASHED TO SOME PART OF THE RAFT
755,THE WAVES RISE ABOVE OUR HEADS
756,THEY SEEMED TO BE WE ARE LOST BUT I AM NOT SURE
757,HE KNOWLEDGE HIS CONSENT
758,THE FARBALL HALF OF IT WHITE HALF AZURE BLUE AND THE SIZE AND A TEN INCH SHELL MOVED SOLLY ABOUT THE RAFT BUT REVOLVING ON ITS OWN AXIS WITH ASTONISHING VELOCITY AS IF WIDTH ROUND BY THE FORCE OF THE WHIRLWIND
759,HERE COMES THERE AT GUIDES NOW IT IS UP THE RAGGED STUMP OF THE MAST THEN'S IT LIGHTLY LEAPS ON THE PROVISION BAG DESCANS WITH A LIGHT BOUND AND JUST SKINS THE PATTERN MAGAZINE HORRIBLE
